Sequence_ID,Functional_Clade_ID
tr|A0A0K1PR29|A0A0K1PR29_9BACT_6_47,BADASP_Clade_1
tr|Z9JST2|Z9JST2_9MICO_3_44,BADASP_Clade_1
tr|K9ZX67|K9ZX67_DEIPD_21_62,BADASP_Clade_1
tr|A0ABT6LL64|A0ABT6LL64_9ACTN_1_42,BADASP_Clade_1
tr|A0ABQ4PL67|A0ABQ4PL67_9GAMM_23_64,BADASP_Clade_1
tr|A0A662ZGE4|A0A662ZGE4_9GAMM_24_64,BADASP_Clade_1
tr|A0A381VKJ2|A0A381VKJ2_9ZZZZ_6_47,BADASP_Clade_1
tr|A0A1X9NB13|A0A1X9NB13_9GAMM_8_49,BADASP_Clade_1
tr|A0A4Q7VVY9|A0A4Q7VVY9_9BURK_25_66,BADASP_Clade_1
tr|A0ABQ6H947|A0ABQ6H947_9GAMM_29_70,BADASP_Clade_1
tr|A0AAW9R697|A0AAW9R697_9GAMM_5_46,BADASP_Clade_1
tr|A0A1C9WAR7|A0A1C9WAR7_9GAMM_8_49,BADASP_Clade_1
tr|A0A7V8JVT5|A0A7V8JVT5_9BURK_14_55,BADASP_Clade_1
tr|A0ABU5E8B4|A0ABU5E8B4_9PROT_6_47,BADASP_Clade_1
tr|A0A7W6J7K0|A0A7W6J7K0_9HYPH_1_42,BADASP_Clade_1
tr|F2BGG8|F2BGG8_9NEIS_6_47,BADASP_Clade_1
tr|A0ABW2A129|A0ABW2A129_9GAMM_7_48,BADASP_Clade_1
tr|A0A2N5Y3W5|A0A2N5Y3W5_9GAMM_1_42,BADASP_Clade_1
tr|A0A0A0HQN0|A0A0A0HQN0_9RHOB_19_60,BADASP_Clade_1
tr|A0AAE9ZHA7|A0AAE9ZHA7_9PROT_6_46,BADASP_Clade_1
tr|A0AAW9SN05|A0AAW9SN05_9RHOB_5_46,BADASP_Clade_1
tr|A0A557S0G8|A0A557S0G8_9GAMM_9_50,BADASP_Clade_1
tr|A0A376ADP8|A0A376ADP8_9HYPH_5_46,BADASP_Clade_1
tr|A0A175R3N7|A0A175R3N7_9HYPH_5_46,BADASP_Clade_1
tr|A0A8H2NX44|A0A8H2NX44_PSEFL_20_61,BADASP_Clade_1
tr|A0A5J5FQ67|A0A5J5FQ67_9GAMM_22_63,BADASP_Clade_1
tr|I3USF0|I3USF0_PSEPU_21_62,BADASP_Clade_1
tr|A0ABT2P7C4|A0ABT2P7C4_9GAMM_16_57,BADASP_Clade_1
tr|E3BJD7|E3BJD7_9VIBR_1_42,BADASP_Clade_1
tr|A0A128EVA4|A0A128EVA4_9GAMM_2_43,BADASP_Clade_1
tr|A0A0C1MMA8|A0A0C1MMA8_9GAMM_4_45,BADASP_Clade_1
tr|K0DNH6|K0DNH6_9BURK_19_60,BADASP_Clade_1
tr|A0A947D9B3|A0A947D9B3_9HYPH_26_67,BADASP_Clade_1
tr|A0A831A2E3|A0A831A2E3_ERWAM_24_63,BADASP_Clade_1
tr|A0A3N7JYC1|A0A3N7JYC1_9BURK_19_60,BADASP_Clade_1
tr|B0T9J4|B0T9J4_CAUSK_14_55,BADASP_Clade_1
tr|A0A2V3UGN8|A0A2V3UGN8_9HYPH_7_46,BADASP_Clade_1
tr|A0A4R0PAX5|A0A4R0PAX5_9HYPH_2_43,BADASP_Clade_1
tr|A0A3R7HHA1|A0A3R7HHA1_9BURK_9_50,BADASP_Clade_1
tr|A0A2G4YTE5|A0A2G4YTE5_9PROT_4_45,BADASP_Clade_1
tr|A0A0P8Z3J1|A0A0P8Z3J1_PSEFL_5_46,BADASP_Clade_1
tr|A0A1S8D4M6|A0A1S8D4M6_9PROT_5_46,BADASP_Clade_1
tr|V4RA01|V4RA01_9HYPH_13_54,BADASP_Clade_1
tr|A0A0B1Q4N4|A0A0B1Q4N4_9HYPH_2_43,BADASP_Clade_1
tr|A0A3L7JEA5|A0A3L7JEA5_9HYPH_10_51,BADASP_Clade_1
tr|A0A059G420|A0A059G420_9PROT_22_63,BADASP_Clade_1
tr|B0T4P5|B0T4P5_CAUSK_7_48,BADASP_Clade_1
tr|A0A0N7MBE7|A0A0N7MBE7_9RHOB_4_45,BADASP_Clade_1
tr|A0ABS8DAC1|A0ABS8DAC1_9NEIS_9_50,BADASP_Clade_1
tr|A0ABU1IGD8|A0ABU1IGD8_9BURK_5_46,BADASP_Clade_1
tr|A0ABU3Q690|A0ABU3Q690_9SPHN_14_55,BADASP_Clade_2
tr|A0A225SV14|A0A225SV14_9BURK_3_44,BADASP_Clade_2
tr|A0A381T0U3|A0A381T0U3_9ZZZZ_1_42,BADASP_Clade_2
tr|A0ABD5C9N8|A0ABD5C9N8_9BURK_25_66,BADASP_Clade_2
tr|A0A853IYU2|A0A853IYU2_9BURK_7_48,BADASP_Clade_2
tr|A0A6L6PVF2|A0A6L6PVF2_9BURK_6_47,BADASP_Clade_2
tr|A0A127K9V9|A0A127K9V9_9RHOO_3_44,BADASP_Clade_2
tr|A0ABQ2XY83|A0ABQ2XY83_9BURK_17_58,BADASP_Clade_2
tr|A0AAW5WCN3|A0AAW5WCN3_9ENTR_8_49,BADASP_Clade_2
tr|A0AA34TR89|A0AA34TR89_9VIBR_27_68,BADASP_Clade_2
tr|A0ABV0J1J3|A0ABV0J1J3_9NEIS_8_49,BADASP_Clade_2
tr|A0A9X1YVJ2|A0A9X1YVJ2_9PSED_10_51,BADASP_Clade_2
tr|A0A9E6Q0W7|A0A9E6Q0W7_9PSED_8_49,BADASP_Clade_2
tr|A0A2T3J2I0|A0A2T3J2I0_9GAMM_10_51,BADASP_Clade_2
tr|A0A8J7KAI6|A0A8J7KAI6_9GAMM_13_54,BADASP_Clade_2
tr|A0A5N0TJ67|A0A5N0TJ67_9GAMM_14_55,BADASP_Clade_1
tr|A0ABV7J9R6|A0ABV7J9R6_9GAMM_4_45,BADASP_Clade_1
tr|G9AE93|G9AE93_SINF1_18_59,BADASP_Clade_1
tr|A0A1X7BVB3|A0A1X7BVB3_9RHOB_3_44,BADASP_Clade_1
tr|A0ABS5WNN6|A0ABS5WNN6_9RHOB_4_45,BADASP_Clade_1
tr|A0ABS5WK45|A0ABS5WK45_9RHOB_9_50,BADASP_Clade_1
tr|A0A4R6XQG1|A0A4R6XQG1_9GAMM_5_46,BADASP_Clade_1
tr|A0A5M6IGZ3|A0A5M6IGZ3_9PROT_21_62,BADASP_Clade_1
tr|A0A3P1SWM5|A0A3P1SWM5_9GAMM_3_44,BADASP_Clade_1
tr|A0A5E4UMW9|A0A5E4UMW9_9BURK_10_51,BADASP_Clade_1
tr|A0ABU0JFM4|A0ABU0JFM4_9HYPH_17_58,BADASP_Clade_1
tr|A0A4Q9KPC6|A0A4Q9KPC6_PROTD_1_42,BADASP_Clade_1
tr|A0A1R4JNC8|A0A1R4JNC8_9MICO_11_52,BADASP_Clade_1
tr|A0ABP7DST2|A0ABP7DST2_9MICC_24_65,BADASP_Clade_1
tr|A0A1H4NTF5|A0A1H4NTF5_TSUTY_29_70,BADASP_Clade_1
tr|A0ABQ3RSI1|A0ABQ3RSI1_9ACTN_22_44,BADASP_Clade_1
tr|A0A6P2V785|A0A6P2V785_BURL3_4_45,BADASP_Clade_1
tr|A0A2A4ERP8|A0A2A4ERP8_9BURK_4_45,BADASP_Clade_1
tr|A0A5P9NJ32|A0A5P9NJ32_9GAMM_24_63,BADASP_Clade_1
tr|A0A3N5XWY0|A0A3N5XWY0_9ALTE_17_56,BADASP_Clade_1
tr|A0A9X1YPD1|A0A9X1YPD1_9BURK_1_42,BADASP_Clade_1
tr|A0A4R3LM96|A0A4R3LM96_9BURK_25_66,BADASP_Clade_1
tr|A0A395JRV5|A0A395JRV5_9GAMM_12_53,BADASP_Clade_1
tr|H6SJP4|H6SJP4_PARPM_19_60,BADASP_Clade_1
tr|A0A2W4Z1S7|A0A2W4Z1S7_9SPHN_3_44,BADASP_Clade_1
tr|A0A829YEH1|A0A829YEH1_9GAMM_10_51,BADASP_Clade_1
tr|A0A1T4VZ69|A0A1T4VZ69_9GAMM_9_50,BADASP_Clade_1
tr|A0ABV9GXD9|A0ABV9GXD9_9BURK_4_45,BADASP_Clade_1
tr|A0A1Y6HM59|A0A1Y6HM59_9XANT_9_49,BADASP_Clade_1
tr|A0A4R3IFR8|A0A4R3IFR8_9GAMM_11_52,BADASP_Clade_1
tr|A0A5N7JSM8|A0A5N7JSM8_9PSED_11_52,BADASP_Clade_1
tr|A0ABV7MVY3|A0ABV7MVY3_9HYPH_4_45,BADASP_Clade_1
tr|A0A8J2YXG2|A0A8J2YXG2_9PROT_6_47,BADASP_Clade_3
tr|A0ABV7TUD8|A0ABV7TUD8_9NEIS_7_48,BADASP_Clade_3
tr|A0ABS8D9Z7|A0ABS8D9Z7_9NEIS_11_52,BADASP_Clade_3
tr|A0A1H1Z3U2|A0A1H1Z3U2_9PSED_17_58,BADASP_Clade_3
tr|A0A844BC77|A0A844BC77_9BURK_3_44,BADASP_Clade_3
tr|A0A370HN81|A0A370HN81_9HYPH_16_57,BADASP_Clade_3
tr|A0A1N6G3V5|A0A1N6G3V5_9SPHN_7_48,BADASP_Clade_3
tr|A0A9J9LFN6|A0A9J9LFN6_RHIWR_6_47,BADASP_Clade_3
tr|A0ABV7D4X7|A0ABV7D4X7_9PROT_7_48,BADASP_Clade_3
tr|A0A2W5WLU3|A0A2W5WLU3_9CAUL_8_49,BADASP_Clade_1
tr|A0ABS6SAA5|A0ABS6SAA5_9SPHN_17_58,BADASP_Clade_1
tr|A0A0H2WBC0|A0A0H2WBC0_BURMA_24_65,BADASP_Clade_1
tr|A0A969WBL8|A0A969WBL8_9GAMM_14_55,BADASP_Clade_1
tr|A0ABT0LF14|A0ABT0LF14_9GAMM_7_48,BADASP_Clade_1
tr|A0A1A6C1K1|A0A1A6C1K1_9GAMM_6_47,BADASP_Clade_1
tr|A0A2V1P397|A0A2V1P397_9RHOB_28_69,BADASP_Clade_1
tr|A0A1H7GLB9|A0A1H7GLB9_9GAMM_10_51,BADASP_Clade_1
tr|A0A2G4YW00|A0A2G4YW00_9PROT_10_51,BADASP_Clade_1
tr|A0A2G4YVN0|A0A2G4YVN0_9PROT_10_51,BADASP_Clade_1
tr|A0ABS6SA85|A0ABS6SA85_9SPHN_7_48,BADASP_Clade_1
tr|A0A829YB75|A0A829YB75_9GAMM_11_52,BADASP_Clade_1
tr|A0A3M3S220|A0A3M3S220_9PSED_13_54,BADASP_Clade_1
tr|A0ABU3QB72|A0ABU3QB72_9SPHN_1_42,BADASP_Clade_1
tr|W0ABY7|W0ABY7_9SPHN_5_46,BADASP_Clade_1
tr|A0A494TBP7|A0A494TBP7_SPHPE_11_52,BADASP_Clade_1
tr|A0A418WN85|A0A418WN85_9SPHN_23_64,BADASP_Clade_1
tr|A0A4R1EYR9|A0A4R1EYR9_9GAMM_9_50,BADASP_Clade_1
tr|A0ABW1L2F4|A0ABW1L2F4_9PROT_2_43,BADASP_Clade_1
tr|A0A3B9GZ25|A0A3B9GZ25_9PROT_4_45,BADASP_Clade_1
tr|A0A916JJE5|A0A916JJE5_9FLAO_4_45,BADASP_Clade_1
tr|A0A8J3G0G4|A0A8J3G0G4_9BURK_9_50,BADASP_Clade_1
tr|A0ABU2ZP27|A0ABU2ZP27_9ALTE_1_42,BADASP_Clade_1
tr|A0A258D0S5|A0A258D0S5_CAUVI_28_69,BADASP_Clade_4
tr|A0ABV8SK60|A0ABV8SK60_9GAMM_2_43,BADASP_Clade_4
tr|A0AAJ5X5H2|A0AAJ5X5H2_9SPHN_3_43,BADASP_Clade_4
tr|A0ABS7PRL4|A0ABS7PRL4_9SPHN_10_51,BADASP_Clade_4
tr|A0A9J9H9A3|A0A9J9H9A3_RHIWR_15_56,BADASP_Clade_4
tr|A0A7W9AG34|A0A7W9AG34_9SPHN_1_42,BADASP_Clade_4
tr|A0A3N5YEJ1|A0A3N5YEJ1_9ALTE_19_60,BADASP_Clade_4
tr|A0ABV7IE44|A0ABV7IE44_9RHOB_1_42,BADASP_Clade_1
tr|A0ABT8ZL58|A0ABT8ZL58_9SPHN_1_40,BADASP_Clade_1
tr|A0A381RB92|A0A381RB92_9ZZZZ_1_42,BADASP_Clade_1
tr|A0A4Y8MK87|A0A4Y8MK87_9BURK_3_44,BADASP_Clade_1
tr|A0A9Y2NAA7|A0A9Y2NAA7_9PSEU_3_44,BADASP_Clade_1
tr|A0A317C5E3|A0A317C5E3_9GAMM_3_44,BADASP_Clade_1
tr|A0A261RRQ3|A0A261RRQ3_9BORD_1_42,BADASP_Clade_1
tr|A0A238KBH4|A0A238KBH4_9RHOB_2_43,BADASP_Clade_1
tr|A0A4R6RFA7|A0A4R6RFA7_9HYPH_3_44,BADASP_Clade_1
tr|A0ABU7LS84|A0ABU7LS84_9PROT_4_45,BADASP_Clade_1
tr|A0A556AIY6|A0A556AIY6_9BURK_15_56,BADASP_Clade_1
tr|A0ABW5CFG0|A0ABW5CFG0_9HYPH_7_48,BADASP_Clade_1
tr|A0ABS4SWV1|A0ABS4SWV1_9PROT_5_46,BADASP_Clade_1
tr|A0A2S5THH9|A0A2S5THH9_9GAMM_1_42,BADASP_Clade_1
tr|A0A3G9G514|A0A3G9G514_9CAUL_12_53,BADASP_Clade_1
tr|A0AAP2AGQ7|A0AAP2AGQ7_LELAM_2_42,BADASP_Clade_1
tr|A0AAJ8WUF3|A0AAJ8WUF3_SALET_11_52,BADASP_Clade_1
tr|A0ABQ4SGL2|A0ABQ4SGL2_9HYPH_3_44,BADASP_Clade_1
tr|A0A0H2MFP2|A0A0H2MFP2_9PROT_5_46,BADASP_Clade_1
tr|A0A2S2E152|A0A2S2E152_9ALTE_25_66,BADASP_Clade_1
tr|A0A7W6E4U5|A0A7W6E4U5_9RHOB_30_71,BADASP_Clade_1
tr|A0ABU7TZY2|A0ABU7TZY2_9PROT_1_42,BADASP_Clade_1
tr|A0A120FML5|A0A120FML5_9HYPH_8_49,BADASP_Clade_1
tr|A0A1G5PTM9|A0A1G5PTM9_9RHOB_30_71,BADASP_Clade_1
tr|A0A1H8GCS9|A0A1H8GCS9_9RHOB_30_71,BADASP_Clade_1
tr|A0A371R7L5|A0A371R7L5_9PROT_7_48,BADASP_Clade_1
tr|A0A369VXY3|A0A369VXY3_9SPHN_7_48,BADASP_Clade_1
tr|A0A292ZH14|A0A292ZH14_SPHSA_4_45,BADASP_Clade_1
tr|A0A3B0RQN4|A0A3B0RQN4_9ZZZZ_5_46,BADASP_Clade_1
tr|A0A3B0SUT4|A0A3B0SUT4_9ZZZZ_8_44,BADASP_Clade_1
tr|A0A7L5C1Q1|A0A7L5C1Q1_9RHOB_7_48,BADASP_Clade_1
tr|A0A2K9Z1C8|A0A2K9Z1C8_RHILE_13_49,BADASP_Clade_1
tr|A0A193LKW9|A0A193LKW9_9GAMM_3_44,BADASP_Clade_1
tr|A0A0L1JRC0|A0A0L1JRC0_9RHOB_6_47,BADASP_Clade_1
tr|A0A7S9LW56|A0A7S9LW56_9RHOB_8_49,BADASP_Clade_1
tr|A0A2G5K916|A0A2G5K916_9RHOB_4_43,BADASP_Clade_1
tr|A0A238J6T4|A0A238J6T4_9RHOB_14_55,BADASP_Clade_1
tr|W0ALH5|W0ALH5_9SPHN_19_60,BADASP_Clade_1
tr|A0A6I4UUZ4|A0A6I4UUZ4_9SPHN_6_47,BADASP_Clade_1
tr|A0A5A9GSV0|A0A5A9GSV0_AZOLI_5_46,BADASP_Clade_1
tr|A0A4Q9GZQ9|A0A4Q9GZQ9_9BURK_7_48,BADASP_Clade_1
tr|A0ABV7D4S8|A0ABV7D4S8_9PROT_3_44,BADASP_Clade_1
tr|A0A2A4YZ60|A0A2A4YZ60_9PROT_6_47,BADASP_Clade_1
tr|A0ABQ5USS7|A0ABQ5USS7_9HYPH_7_48,BADASP_Clade_1
tr|A0A4Q2S2W5|A0A4Q2S2W5_9HYPH_9_48,BADASP_Clade_1
tr|A0A1J0WIX2|A0A1J0WIX2_9RHOB_8_49,BADASP_Clade_1
tr|A0A0A1FEL6|A0A0A1FEL6_9BURK_30_71,BADASP_Clade_1
tr|A0A1X0XX92|A0A1X0XX92_9BACT_3_44,BADASP_Clade_1
tr|A0ABS1HRY8|A0ABS1HRY8_9PROT_16_57,BADASP_Clade_1
tr|A0A922TA08|A0A922TA08_9HYPH_4_45,BADASP_Clade_1
tr|A0A378YEW7|A0A378YEW7_9BURK_9_50,BADASP_Clade_1
tr|A0A078L3B5|A0A078L3B5_9GAMM_22_63,BADASP_Clade_1
tr|A0A2A4SWF2|A0A2A4SWF2_9DELT_4_45,BADASP_Clade_1
tr|A0A2L0HBX7|A0A2L0HBX7_RHIFR_2_43,BADASP_Clade_1
tr|A0A1I6VRI6|A0A1I6VRI6_9RHOB_1_42,BADASP_Clade_1
tr|A0ABS7PJA2|A0ABS7PJA2_9SPHN_4_45,BADASP_Clade_1
tr|A0A3S0Q867|A0A3S0Q867_9HYPH_6_47,BADASP_Clade_1
